Idiom (EN)	Idiom (ES)	Ejemplo (EN)	Ejemplo (ES)	Semantic 	Syntactic	Notes
get something out of your system	sacarse algo de la cabeza	I had a good cry and got it out of my system.	Lloré mucho y lo saqué de mi cabeza.	2	3	
go back to the drawing board	volver a empezar de cero	If the predictions are completely wrong, then it is back to the drawing board.	Si las predicciones son completamente erróneas, entonces hay que volver a empezar desde cero.	2	3	
make a long story short	haciendola corta	We started going out and, to make a long story short, we ended up getting serious about one another.	Empezamos a salir y, haciendola corta, terminamos haciendo seria la relación.	2	3	
pulling a leg	tomarme el pelo	Is it really your car or are you pulling my leg?	¿Es realmente tu coche o me estás tomando el pelo?	2	3	
speak of the devil	hablando del diablo	Did you hear what happened to Anna yesterday - oh, speak of the devil, here she is.	¿Oíste lo que le pasó a Anna ayer? Oh, hablando del diablo, aquí está.	3	3	
the best of both worlds	lo mejor de ambos mundos	She works in the city and lives in the country, so she gets the best of both worlds.	Ella trabaja en la ciudad y vive en el campo, por lo que obtiene lo mejor de ambos mundos.	3	3	
time flies when you're having fun	el tiempo vuela cuando te diviertes	I can’t believe it’s time to go home already. Time flies when you’re having fun. 	No puedo creer que ya sea hora de volver a casa. El tiempo vuela cuando te diviertes.	3	3	
wrap your mind around something	hacerse la idea	I find it hard to get my mind around such complex issues.	Me resulta difícil hacerme la idea de cuestiones tan complejas.	1	2	In Spanish it seems to be more related to accepting something and in English about understanding.
your guess is as good as mine	tu suposición es tan buena como la mía	What's he doing?' 'Your guess is as good as mine.'	¿Qué está haciendo?' 'Tu suposición es tan buena como la mía'.	3	3	
a perfect storm	una tormenta perfecta	It seemed a bit like a perfect storm; people were borrowing money like crazy.	Parecía una tormenta perfecta: la gente estaba pidiendo dinero prestado como loca.	3	3	
add insult to injury	para colmo de males	I was late and, to add insult to injury, forgot my keys.	Llegué tarde y, para colmo de males, olvidé mis llaves.	2	2	
comparing apples to oranges	comparar peras con manzanas	You're comparing apples with oranges. They are two very different jobs, with very different types of stress.	Estás comparando peras con manzanas. Son dos trabajos muy diferentes, con tipos de estrés muy distintos.	3	3	
to sit on the fence	Nadar entre dos aguas	He always sits on the fence in arguments.	Siempre nada entre dos aguas en las discusiones.	3	3	
to beat around the bush	Andarse/ irse por las ramas	Stop beating around the bush and tell me!	¡Deja de andarte por las ramas y dime!	3	3	
to be up your street	Ser lo tuyo	This job is right up your street.	Este trabajo es justo lo tuyo.	2	2	
to put a sock in it	Callarse la boca	Put a sock in it, I’m trying to focus.	Cállate la boca, estoy intentando concentrarme.	2	2	
to kick the bucket	Estirar la pata	He kicked the bucket last night.	Estiró la pata anoche.	3	3	
to turn a blind eye	Hacerse de la vista gorda	He turned a blind eye to the problem.	Se hizo de la vista gorda con el problema.	3	2	
to show someone the ropes	Mostrar cómo son las cosas	I'll show you the ropes of the business.	Te enseñaré cómo son las cosas del negocio.	1	3	
to cut the mustard	Estar a la altura	He didn’t cut the mustard in the test.	No estuvo a la altura en el examen.	2	3	
to spit it out	Escupirlo / Soltarlo de una vez	Just spit it out, what happened?	Suéltalo de una vez, ¿qué pasó?	3	3	
to go pear-shaped	Irse al traste	Everything went pear-shaped in the end.	Al final, todo se fue al traste.	2	3	
to be snowed under	Estar hasta arriba	I’m snowed under with work.	Estoy hasta arriba de trabajo.	2	2	
a different kettle of fish	Otro cantar	This situation is a different kettle of fish.	Esta situación es otro cantar.	2	3	Significant cultural difference
off the beaten track	Fuera de lo común	His ideas are off the beaten track.	Sus ideas son fuera de lo común.	2	3	English is more metaphoric
by the skin of your teeth	Por los pelos	He passed the test by the skin of his teeth.	Aprobó el examen por los pelos.	3	2	
to add fuel to the fire	Echar leña al fuego	His words just added fuel to the fire.	Sus palabras solo echaron leña al fuego.	3	3	
to get a move on	Darse prisa	Get a move on, we are late!	¡Date prisa, llegamos tarde!	3	3	
to serve someone right	Tener lo que se merece	He got fired? Well, it serves him right.	¿Lo despidieron? Pues, tiene lo que se merece.	2	1	Cultural difference
a stone's throw away	A la vuelta de la esquina	The restaurant is a stone’s throw away.	El restaurante está a tiro de piedra.	3	2	
the shit's gonna hit the fan	Se va a armar la gorda	When they find out, the shit’s gonna hit the fan.	Cuando se enteren, se va a armar la gorda.	2	3	
to blow your own trumpet	Echarse flores	He always blows his own trumpet.	Siempre se echa flores.	2	3	
Bob's your uncle	Y asunto arreglado	Just press this button, and Bob’s your uncle!	Solo pulsa este botón y asunto arreglado.	2	1	Cultural difference
to be on the ball	Estar al quite / Ser avispado	He’s really on the ball at work.	Es muy avispado en el trabajo.	2	1	
to twist someone's arm	Poner entre la espada y la pared	I had to twist his arm to join us.	Le puse entre la espada y la pared para que viniera.	2	1	Cultural difference
dog eat dog	La ley del más fuerte	It’s a dog-eat-dog world in business.	En los negocios, es la ley del más fuerte.	2	1	Cultural difference
to make ends meet	Llegar a fin de mes	It’s hard to make ends meet nowadays.	Hoy en día es difícil llegar a fin de mes.	2	2	
to get cold feet	Echarse atrás	He got cold feet before the wedding.	Se echó atrás antes de la boda.	2	1	
Let every man skin his own skunk	Cada cual con su cada cuala	The team was getting into arguments because everyone wanted to do someone else's job instead of focusing on their own tasks. The manager finally said: 'Let every man skin his own skunk,' and the project started to move forward.	El equipo estaba discutiendo porque todos querían hacer el trabajo de los demás en lugar de enfocarse en sus propias tareas. Finalmente, el gerente dijo: 'Cada cual con su cada cuala', y el proyecto empezó a avanzar	3	2	
don’t count your chickens before they hatch	No vendas la piel del oso antes de cazarlo	Don’t count your chickens before they hatch, wait for the results.	No vendas la piel del oso antes de cazarlo, espera los resultados.	3	2	
A leopard can’t change its spots	Genio y figura hasta la sepultura	He promised to change, but a leopard can’t change its spots.	Prometió cambiar, pero genio y figura hasta la sepultura.	2	1	Cultural difference
Actions speak louder than words	Obras son amores y no buenas razones	He says he will help, but actions speak louder than words.	Dice que ayudará, pero obras son amores y no buenas razones.	2	1	Spanish is more metaphorical
Every cloud has a silver lining	No hay mal que por bien no venga	She lost her job, but every cloud has a silver lining.	Perdió su trabajo, pero no hay mal que por bien no venga.	3	1	
You can’t have your cake and eat it too	No se puede estar en misa y repicando	You want to save money and travel? You can’t have your cake and eat it too.	¿Quieres ahorrar y viajar? No se puede estar en misa y repicando.	2	3	Cultural difference
When in Rome, do as the Romans do	Donde fueres, haz lo que vieres	When in Rome, do as the Romans do, and respect their customs.	Donde fueres, haz lo que vieres y respeta sus costumbres.	2	1	Cultural difference
Beggars can’t be choosers	A caballo regalado, no le mires el diente	You don’t like the free food? Beggars can’t be choosers.	¿No te gusta la comida gratis? A caballo regalado, no le mires el diente.	2	1	
The grass is always greener on the other side	La hierba siempre es más verde en el jardín del vecino	He always wants a new car, the grass is always greener on the other side.	Siempre quiere un coche nuevo, la hierba siempre es más verde en el jardín del vecino.	3	3	
Too many cooks spoil the broth	Donde manda capitán, no manda marinero	We were all trying to plan the event, but everyone had different opinions and changed things constantly. In the end, it was a complete disaster. Too many cooks spoil the broth.	Todos intentábamos organizar el evento, pero cada quien tenía una opinión diferente y cambiaban las cosas todo el tiempo. Al final, fue un desastre total. Donde manda capitán, no manda marinero	2	1	Cultural difference
Honesty is the best policy	Más vale una verdad amarga que una mentira dulce	Just tell the truth, honesty is the best policy.	Solo di la verdad, más vale una verdad amarga que una mentira dulce	2	1	Cultural difference
The early bird catches the worm	A quien madruga, Dios lo ayuda	He got the job because he applied first. The early bird catches the worm.	Consiguió el trabajo porque aplicó primero. A quien madruga, Dios lo ayuda.	2	1	Cultural difference
put all your eggs in one basket	poner todos los huevos en la misma canasta	Invest wisely, don’t put all your eggs in one basket.	Invierte con cuidado, no pongas todos los huevos en la misma canasta.	3	3	
A stitch in time saves nine	Más vale prevenir que curar	Fix the leak now, a stitch in time saves nine.	Arregla la fuga ahora, más vale prevenir que curar.	2	2	
nothing to write home about	Nada del otro mundo	The movie was okay, but nothing to write home about.	La película estuvo bien, pero nada del otro mundo.	2	1	
break the ice	romper el hielo	I was looking for a phrase to break the ice and talk to her - But I couldn't find none	Quería romper el hielo con una frase inteligente, pero la verdad no se me ocurrió nada	3	3	
caught between a rock and a hard place	entre la espada y la pared	I had to either loose all my savings or loose my house; I was caught between a rock and a hard place	Tenía que perder todos mis ahorros o perder mi casa; estaba entre la espada y la pared	3	3	
get a taste of your own medicine	probar de tu propia medicina	I know I cheated on you, but you did it first. So you got a taste of your own medicine!	Ya sé que te engañé, pero vos lo hiciste primero. Probaste tu propia medicina	3	3	
give someone the cold shoulder	la ley del hielo	I won't talk to you anymore, Im giving you the cold shoulder	Me está haciendo la ley del hielo, no me habla más	3	1	The structure is very different but the meaning it is the same one
throw the baby out with the bathwater	separar la paja del trigo	Well but that he is not as bad as the rest of the team, don't throw the baby out with the bathwater!	El no es tan malo como el resto del equipo, hay que separar la paja del trigo	2	1	They are very different, but the meaning and the use is the same one
slow and steady wins the race	el que persevera, alcanza	You need to keep studying and working, slow and steady wins the race	Hay que seguir estudiando y trabajando, quien perservera alcanza	2	2	
like riding a bicycle	como andar en bicicleta	It is like riding a bicycle, once you learn it is forever with you	Es como andar en bicicleta, una vez que lo aprendes no lo olvidas mas	3	3	
hang in there	Aguanta	I know it's been hard, but you need to hang in there. It will get better	Aguanta, será mejor	2	1	There is not such a fixed expression in spanish as it is in english
ignorance is bliss	Ojos que no ven, corazón que no siente	I wish I haven't seen that message, ignorance is bliss	Ojalá no hubiera leído ese mensaje, ojos que no ven corazón que no siente	2	1	
jump on the bandwagon	subirse al carro	Now everyone is using skinny jeans again. There is no style anymore, everyone just jumps on the bandwagon	Ahora todo el mundo usa de nuevo chupines, todos se suben al carro con cualquier cosa!	3	3	
no pain, no gain	El que quiere celeste, que le cueste	If you want to become a better runner, you need to go out everyday. No pain, no gain	Si queres correr esa maratón, tenes que salir todos los días. El que quiere celeste, que le cueste	2	2	Both of the idioms are heavily reliant on the rythm, using rhymes to make it work. However, the metaphors are very different. They are both used in the same contexts.
put the cart before the horse	Poner la carreta delante de los bueyes	Don’t put the cart before the horse by investing in a new shop before selling that old one situated in west of the city.	No pongas la carreta delante de los bueyes, primero vendé tu auto y después comprá uno nuevo	3	3	
the ball is in your court	la pelota está en tu cancha	Well, you need to tell me what to do now. The ball is in your court	Bueno, ahora vos tenes que decirme que hacer. La pelota está en tu cancha	3	3	
the elephant in the room	el elefante en la habitación	Aren't we gonna talk about the elephant in the room? She haven't left yet.	No vamos a hablar del elefante en la habitación? Ella no se fue todavía	3	3	
when pigs fly	cuando las vacas vuelen	Im gonna be a millonaire when the pigs fly	Voy a ser millonaria cuando las vacas vuelen	3	3	There is just the replacement of the animal but the phrase and the meaning is the same
you cant judge a book by its cover	juzgar a un libro por la portada	He is not what he seems to be, you can't judge a book by its cover	No es lo que parece, no podes juzgar a un libro por su portada	3	3	
bite the bullet	Hacer de tripas corazon	I dont like vaccines, but I need to do it. I will just bite the bullet	No me gustan las vacunas, pero tengo que hacerlo. Voy a hacer de tripas corazón	2	1	The meaning is the same, however the images that are used are very different. the syntax structures are very different as well
armed to the teeth	armado hasta los dientes	the army was so strong they seemed armed to the teeth	el ejercito era tan fuerte que parecia estar armado hasta los dientes	3	3	
throw the towel	tirar la toalla	Im not gonna throw the towel until I win	No voy a tirar la toalla hasta que gane	3	3	
in your corner	estoy de tu lado	Im always in your corner, no matter what happens	estoy de tu lado, pase lo que pase	1	2	There is a similarity using the space as the description, but the english expression is more metaphorical
under the weather	no estar en tu mejor día	Im feeling a bit under the weather, Im too tired	No estoy en mi mejor día, estoy muy cansada	2	1	The meaning is the same, but the spanish expression is not as crystalized as the english one
happy as a pig in the mud	feliz como perro con dos colas	He got what he asked for christmas! He was as happy as a pig in the mud	Le regalaron justo lo que quería para navidad! Estaba como perro con dos colas	2	2	The expressions are both using animals as expression, but the spanish one it is a bit more metaphorical. The use is the same one.
when it rain, it pours	a perro flaco no le faltan pulgas	He lost his job right after his divorce. When it rain, it pours	Perdió su trabajo después de su divorcio. A perro flaco no le faltan pulgas	2	2	The meaning is the same in the use, but the metaphors are not the same one. 
spill the beans	contame todo	How was your date? Spill the beans!	Como fue tu cita? Contame todo!	1	1	There is not a equivalent expression in spanish
a bed of roses	color de rosa	You are so in love that everything seems like a bed of roses	Estas tan enamorada que ves todo color de rosa	2	2	
on a silver plater	en una bandeja de plata	He is a child of a billonaire, everything is given to him in a silver platter	Es el hijo de un billonario, tiene todo en una bandeja de plata	3	3	
devil's advocate	abogado del diablo	I'll have to say I dont think he is so wrong in this one. I will have to play devil's advocate	Tengo que decir que no creo que esté tan equivcado. Voy a tener que ser el abogado del diablo	3	3	
apple of eye	la luz de mis ojos	She is his favorite granddaugther. She is the apple of his eye	Ella es su nieta favorita. Ella es la luz de sus ojos	2	3	Same use but slightly different metaphor
follow your heart	seguí tu corazón	Study whatever you want, just follow your heart	Estudia lo que quieras, solo seguí tu corazón	3	3	
what business is it of yours?	quien te dio vela en este entierro	I dont even know you, what bussiness is it of yours?	No te conozco para nada, quien te dio vela en este entierro?	1	1	There is not so fixed expression in english, the spanish one is far more metaphorical
heart of stone	corazón de piedra	She was so evil, she has a heart of stone	Ella era tan cruel, tiene un corazón de piedra	3	3	
through thick and thin	en las buenas y en las malas	I will be there for you, always. Through thick and thin	Voy a estar ahí para vos siempre, en las buenas y en las malas	2	3	
rock bottom	tocar fondo	He was in a tough spot, he hit rock bottom	estaba en una mala situación, tocó fondo	3	3	
hot potato	tema espinoso	I dont want to work on that, is the hot potato	No quiero trabajar en eso, es un tema espinoso	2	3	
drop dead	increiblemente	she's drop dead gorgeous!	ella es increiblemente bella	1	1	There is not a equivalent expression in spanish
diamond in the rough	diamante en bruto	She is a work in progress, it is a diamond in the rough	Ella es un trabajo en progreso, es un diamante en bruto	3	3	
dead end	camino sin salida	I have nothing else to do, this is a dead end	No tengo nada mas para hacer, esto es un camino sin salida	3	3	
my two cents	mis dos centavos	I have an opinion on this matter, here is my two cents	Tengo una opinion en este tema, acá están mis dos centavos	3	3	
out of the woods	fuera de peligro	He passed the night, he is out of the woods	Pasó la noche, está fuera de peligro	2	2	There is a similar structure, and the use is the same. But the spanish phrase it is not as fixed as the english expression, also not as metaphorical
out of line	pasarse de la raya	oh you cant say that, you are way out of line	No podes decir eso, te pasaste de la raya	3	3	
out of pocket	de mi bolsillo	I will pay the repairs out of pocket	Voy a pagar las reparaciones de mi bolsillo	3	3	
see red	cegar de rabia	When he said that, I saw red. I was about to kill him	Cuando dijo eso, estaba cegada de rabia. Estaba por matarlo	2	2	There is an equal meaning but the metaphors used are different
salt of the earth	sal de la tierra	He was so good with all of us, he is the salt of the earth	El era tan bueno con nosotros, era la sal de la tierra	3	3	
safe and sound	sano y salvo	I made it ok, Im safe and sound!	Llegué bien, sano y salvo	3	3	
